元文,変換文,"ラベル
記入欄"
うれしい限りですが、知らない言葉はまだいっぱいありますので、辞書を引くのは相変わらず必要なぐらいでした。,うれしい限りですが、知らない言葉はまだいっぱいありますので、辞書を引くのは相変わらず必要なぐらいでした。,無変換
まあ、一応日本語の文章を読めるだけでうれしいことなんですけどね。,まあ、一応日本語の文章を読めるだけでうれしいことなんですけどね。,無変換
ということは、今は日本語の本を楽しめるようになって、手元の中訳バージョンはいらなくてもいいほどですが、少し気にすることがあります。,ということは、今は日本語の本を楽しめるようになって、手元の中訳バージョンはいらなくてもいいほどですが、少し気にすることがあります。,無変換
翻訳は難しいというのがわかっていますけど、私自身も翻訳（日ー＞中）の授業があるので、宿題とかもやっています。,翻訳は難しいというのがわかっていますけど、私自身も翻訳（日ー＞中）の授業があるので、宿題などもやっています。,変換:other
で、日本語を中国語に翻訳する一番難しいところはなんだろうと聞かれたら、私は断然「センテンスの組み立て方がまったく違って、改めて組まないといけない部分は困る」と返事しています。,それで、日本語を中国語に翻訳する一番難しいところはなんだろうと聞かれましたら、私は断然「センテンスの組み立て方がまったく違って、改めて組まないといけない部分は困る」とお返事しております。,変換:other/尊敬語/謙譲語
日本語より、英語と中国語の言葉を排列する順番は似ているので（英語が苦手なんですけど）、中高生のころだったんですが、英語を中国語に訳すことがあまり厄介ではなかった気がしました。,日本語より、英語と中国語の言葉を排列する順番は似ているので（英語が苦手なのですが）、中高生のころだったのですが、英語を中国語に訳すことがあまり厄介ではなかった気がしました。,変換:other
もっとも著しい例は、日本語の順番が動詞を一番最後のところに置くことです。,もっとも著しい例は、日本語の順番が動詞を一番最後のところに置くことです。,無変換
そこで、中国語に変える場合は、頭が回転しないといけないくらいひねって、どう組めばいいかなと戸惑うことがしょっちゅうです。,そこで、中国語に変える場合は、頭が回転しないといけないくらいひねって、どう組めばいいかなと戸惑うことがしょっちゅうです。,無変換
ちょっと話題からそれてしまいましたが、とりあえず、「やがて哀しき外国語」という中訳バージョンはかつて何回も見ましたが、筋が捉えられなかったということです。,ちょっと話題からそれてしまいましたが、とりあえず、「やがて哀しき外国語」という中訳バージョンはかつて何回も見ましたが、筋が捉えられなかったということです。,無変換
なんだか中国語らしくないせいか、なんとなく意味はわかりますけど、でも頭にとどまっていられなく、すぐ忘れてしまう文章だと思いました。,なんだか中国語らしくないせいか、なんとなく意味はわかりますけど、でも頭にとどまっていられなく、すぐ忘れてしまう文章だと思いました。,無変換
むかし、日本語を読めなかったとき、「あ～村上春樹さんの本はこういう感じかな」やら「なんか考え方が深すぎて、意味がちょっとわからない」やら、とにかく、感心させてくれませんでした。,むかし、日本語を読めなかったとき、「あ～村上春樹さんの本はこういう感じかな」やら「なんか考え方が深すぎて、意味が少しわからない」やら、とにかく、感心させてくれませんでした。,変換:other
でも、日本語の原作を見るうちに、わからない言葉はあったんですけど、中訳より理解できる気がしました。,でも、日本語の原作を見るうちに、わからない言葉はあったのですけど、中訳より理解できる気がしました。,変換:other
というわけで、中訳と原作をちょっと比較してみると、中訳はたしかに村上春樹さんの書いたように書いてあるんですけど、たぶん原作を忠実に再現するつもりだったかなと思いました。,というわけで、中訳と原作をちょっと比較してみると、中訳はたしかに村上春樹さんの書いたように書いてあるのですけど、たぶん原作を忠実に再現するつもりだったかなと思いました。,変換:other
本当に外れた部分はないのですけど、やはり中国語らしくないとしたら、読みづらくなるし、理解することも難しくなるなあと思いました。,本当に外れた部分はないのですけど、やはり中国語らしくないとしたら、読みづらくなるし、理解することも難しくなるなあと思いました。,無変換
やはり言葉を身につけると、世界が広がったり、考えも変わったりしますよね。,やはり言葉を身につけると、世界が広がったり、考えも変わったりしますよね。,無変換
これは、言葉を勉強している人々にとって、一番幸いなことに違いないと思います。,これは、言葉を勉強している人々にとって、一番幸いなことに違いないと思います。,無変換
私の仕事は技術サポータなので、今週も休暇をとることができません。,私の仕事は技術サポータなので、今週も休暇をとることができません。,無変換
日本語能力試験の日がだんだん近づくにつれて、私は不安になっています。,日本語能力試験の日がだんだん近づくにつれて、私は不安になっています。,無変換
だいがくのクラブの Japanese Student Association (JSA) がホストです。,だいがくのクラブの Japanese Student Association (JSA) がホストでいらっしゃいます。,どちらでも良い:尊敬語
①中国の漁船が日本の海上保安庁の船に故意に激突（これについては証拠のビデオがあるそうです）,①中国の漁船が日本の海上保安庁の船に故意に激突しました（これについては証拠のビデオがあるそうです）,どちらでも良い:丁寧語
③中国が仕事で中国へ出向いていたフジタの社員を逮捕した上、さらに船長を解放しなければ軍事的行為も辞さないと通告,③中国が仕事で中国へ出向いていたフジタの社員を逮捕した上、さらに船長を解放しなければ軍事的行為も辞さないと通告しました,どちらでも良い:丁寧語
アメリカにとって有利にことが運んだとしても、それは結果論であり、アメリカが何か目的を持って動いたわけでもなく、アメリカにとっては「漁夫の利」であり、中国にとっては「墓穴を掘った」ということなのではないでしょうか？,アメリカにとって有利にことが運んだとしても、それは結果論であり、アメリカが何か目的を持って動いたわけでもなく、アメリカにとっては「漁夫の利」であり、中国にとっては「墓穴を掘った」ということなのではないでしょうか？,無変換
他の東南アジア諸国は元々中国軍に対して危機感をつのらせており、近年の経済発展に伴う東南アジア全体の軍備増強は目覚しいものがあると聞いています。,他の東南アジア諸国は元々中国軍に対して危機感をつのらせており、近年の経済発展に伴う東南アジア全体の軍備増強は目覚しいものがあると伺っております。,どちらでも良い:謙譲語
まず、言っておきたいのはMikkomさん、コメントしてくれてありがとうございます。,まず、申し上げておきたいのはMikkomさん、コメントしてくださってありがとうございます。,どちらでも良い:謙譲語/尊敬語
いま、私はMikkomさんのコメントを借用して、自分の考えを書きます。,いま、私はMikkomさんのコメントを借用しまして、自分の考えを書きます。,どちらでも良い:謙譲語
まず、今回の事件は本当に偶然なのか、まだ判断できないと思います。,まず、今回の事件は本当に偶然なのか、まだ判断できないと思います。,無変換
（たぶん、どこかでtop secretとして封印されるかもしれません。）,（たぶん、どこかでtop secretとして封印されるかもしれません。）,無変換
国際問題になることが彼自身でも予想できると思いますから、漁船は何気なく、わざわざ日本の船にぶつかる必要が本当にありますか？,国際問題になることが彼自身でも予想できると思いますので、漁船は何気なく、わざわざ日本の船にぶつかる必要が本当にありますか？,変換:other
そして、日本のメディアは船長の裏には中国政府の仕業かもしれないとも書いています。,そして、日本のメディアは船長の裏には中国政府の仕業かもしれないとも書いています。,無変換
考えてみましょう、いまは中国の大事な発展の転換期、わざとこんな問題を起こす必要がありますか。,考えてみましょう、いまは中国の大事な発展の転換期、わざとこんな問題を起こす必要がありますか。,無変換
国際に影響もよくないし、たとえば、万博はまだ上海で行われているのに、こんなことを起こす必要がありますか？,国際に影響もよくないですし、たとえば、万博はまだ上海で行われているのに、こんなことを起こす必要がありますか？,変換:丁寧語
「故意」かどうか、私たちのようなニュースをみただけの民間人には断言できないと思います。,「故意」かどうか、私たちのようなニュースをみただけの民間人には断言できないと思います。,無変換
実は、私はずっと、そのビデオの完全の内容を皆に公開した方がいいと思います。,実は、私はずっと、そのビデオの完全の内容を皆に公開した方がいいと思います。,無変換
さらに、漁船と日本の海上保安庁の船の写真を見て、海上保安庁の船は漁船よりずっと大きいと思います。,さらに、漁船と日本の海上保安庁の船の写真を見て、海上保安庁の船は漁船よりずっと大きいと思います。,無変換
「毎日新聞」に漁船は「先兵」として、日本に探察しに来るかもしれないと書いてあります。,「毎日新聞」に漁船は「先兵」として、日本に探察しに来るかもしれないと書いてあります。,無変換
そして、ネット上であの船長は工作員だとかの見方も出てきました。,そして、ネット上であの船長は工作員だとかの見方も出てきました。,無変換
ちょうど良かったのは私のクラスメイトの中のひとりの女の子は船長と同じ村の人です。彼女は「あのおじさん！,ちょうど良かったのは私のクラスメイトの中のひとりの女の子は船長と同じ村の人です。彼女は「あのおじさん！,無変換
うちの村の人だから、普通の漁民だ、なんで工作員として疑われるの？,うちの村の人ですから、普通の漁民です、なぜ工作員として疑われるのでしょうか？,どちらでも良い:丁寧語
「釣魚台島」のことは中国語でいえば「公説公有理、婆説婆有理」です。,「釣魚台島」のことは中国語でいえば「公説公有理、婆説婆有理」です。,無変換
つまり、両方とも根拠を持って、相手の言った事を反論できないと思います。,つまり、両方とも根拠を持って、相手の言った事を反論できないと思います。,無変換
那覇裁判所は日本の国内法で裁判したこういうやり方は適当なのかと考えています。,那覇裁判所は日本の国内法で裁判したこういうやり方は適当なのかと考えています。,無変換
ここで気をつけなければならないところは日本の法律はアメリカと同じです。今度の事件は日本国内法の手順で完全に裁判されました。,ここで気をつけなければならないところは日本の法律はアメリカと同じです。今度の事件は日本国内法の手順で完全に裁判されました。,無変換
もしまた、こんなことが発生したら、日本で裁判所に上訴する方法は不可能だということになります。,もしまた、こんなことが発生したら、日本で裁判所に上訴する方法は不可能だということになります。,無変換
軍事行為を諦めない通告が報道された後、もう一つの日本の国内ニュースを考えてください。,軍事行為を諦めない通告が報道された後、もう一つの日本の国内ニュースを考えてください。,無変換
「菅首相が小沢氏に圧勝 721対491」(2010.09.14),「菅首相が小沢氏に圧勝 721対491」(2010.09.14),無変換
たぶん、最初、中国政府も日本の官僚たちがこんなことを起こして国会議員たちに圧力をかけて選挙を影響を与えるのが日本側の目的だと思っています。,たぶん、最初、中国政府も日本の官僚たちがこんなことを起こして国会議員たちに圧力をかけて選挙を影響を与えるのが日本側の目的だと思っています。,無変換
中国政府の前半の抗議は日本側との芝居にすぎないと私の先生が分析しました。,中国政府の前半の抗議は日本側との芝居にすぎませんと私の先生が分析されました。,どちらでも良い:丁寧語/尊敬語
しかし、日本側は選挙が終わっても船長を釈放する様子が全然ありませんから、やっと本気で抗議し始めます。,しかし、日本側は選挙が終わっても船長を釈放する様子が全然ありませんから、やっと本気で抗議し始めます。,無変換
国内のメディアも管理されて過激な言論はいっさい禁止されています。,国内のメディアも管理されて過激な言論はいっさい禁止されています。,無変換
国内の皆さんもそれを知っていると思います。実は国内で今回の中国政府の抗議しかしないやり方が弱いと批判されています。,国内の皆さんもそれを知っていると思います。実は国内で今回の中国政府の抗議しかしないやり方が弱いと批判されています。,無変換
それで、中国政府は世論の圧力に対して日本側に何かしないといけません。,それで、中国政府は世論の圧力に対して日本側に何かしないといけません。,無変換
日本のみへのレアアース輸出の禁止（ＷＴＯ違反）や、日本関係の通関手続きの妨害とかもしていた原因でもあると思います。,日本のみへのレアアース輸出の禁止（ＷＴＯ違反）や、日本関係の通関手続きの妨害などもしていた原因でもあると思います。,どちらでも良い:other
今日は両国のリーダーがやっとコミュニケーションをとったそうです。,今日は両国のリーダーがやっとコミュニケーションをとられたそうです。,どちらでも良い:尊敬語
2002年にひとりの日本人の教授が20年の内に中日戦争がきっとあると予測しました。,2002年にひとりの日本人の教授が20年の内に中日戦争がきっとありますと予測されました。,どちらでも良い:丁寧語/尊敬語
そして、彼は戦争の後、両国はすぐ仲直りすることも予言しました。,そして、彼は戦争の後、両国はすぐ仲直りすることも予言されました。,どちらでも良い:尊敬語
政治の中心とは利益至上というモノですから、そんなに気に入らなくてもいい。愛国心はいいですけど、他人に簡単に煽られたら、それは良くないと思います。,政治の中心とは利益至上というモノですので、そんなに気に入らなくてもいいです。愛国心はいいですけど、他人に簡単に煽られたら、それは良くないと思います。,どちらでも良い:丁寧語
「外国語を勉強している人は、一度、自分の国の立場を出て、相手の立場に立って考えたら、どうですか。,「外国語を勉強していらっしゃる方は、一度、ご自分の国の立場を出て、相手の立場に立ってお考えになったら、どうですか。,どちらでも良い:尊敬語/other/美化語/丁寧語
そうすると、もともと、自分が理解できないことも何となく分かると思います」。,そうすると、もともと、ご自分が理解できないことも何となくお分かりになると思います」。,どちらでも良い:美化語/尊敬語
私はずっとそれを信じて日本に留学したいです。ほかの国で、外の視点から、自分の国のことをもう一度見つめていたいです。,私はずっとそれを信じて日本に留学したいです。ほかの国で、外の視点から、自分の国のことをもう一度見つめていたいです。,無変換
日本語２０３のクラスは楽しいですけど、クラスメイトはへんです。,日本語２０３のクラスは楽しいですけど、クラスメイトはへんです。,無変換
「新」（最初の部首はいつも覚えられませんから）や「乗」（変で大きいと思います）や「黄」（いつも書き方を忘れます）とか好きじゃありません。,「新」（最初の部首はいつも覚えられませんので）や「乗」（変で大きいと思います）や「黄」（いつも書き方を忘れます）とか好きではありません。,変換:other
あまりメールなどを書かないので敬語の使い方はかなり不安になりました。,あまりメールなどを書かないので敬語の使い方はかなり不安になりました。,無変換
lang-8において、バグ・レポートを提出させていただきたいと思います。,lang-8において、バグ・レポートを提出させていただきたいと存じます。,どちらでも良い:謙譲語
ほかのユーザによって自分のアカウントで添削した箇所に関してのコメントを見ることができないことを指摘されました。,ほかのユーザによって自分のアカウントで添削した箇所に関してのコメントを見ることができないことを指摘されました。,無変換
それでコメントを書くことを試してみましたけど、それも不可能になったみたいです。,それでコメントを書くことを試してみましたけど、それも不可能になったみたいです。,無変換
コメント・ウィジェットはエラーなしに閉じましたが、追加コメントは表示されないし、ページ・リフレッシュ後にも変更なしでした。,コメント・ウィジェットはエラーなしに閉じましたが、追加コメントは表示されませんし、ページ・リフレッシュ後にも変更なしでした。,どちらでも良い:丁寧語
もし都合がよかったらこのバグを訂正していただき、訂正完了のことを電信を通じて知らせていただきたいです。,もしご都合がよろしければこのバグを訂正していただき、訂正完了のことを電信を通じて知らせていただきたいです。,変換:美化語/other
ちなみに、日本の部屋のレンタル費がすごく高いから..........,ちなみに、日本の部屋のレンタル費がすごく高いから..........,無変換
もし...ここに私と一緒に住んでも構わない日本人がいたら（男女,もし...ここに私と一緒にお住まいになっても構わない日本人がいらっしゃったら（男女,どちらでも良い:尊敬語
need help with grammar for my Japanese paper! topic: 日本の社会の反抗分子：ヤンキー,need help with grammar for my Japanese paper! topic: 日本の社会の反抗分子：ヤンキー,Um
日本の教育制度が批判的にけんさされて、社会のえいきょうは日本人が受ける。,日本の教育制度が批判的にけんさされて、社会のえいきょうは日本人が受けます。,どちらでも良い:丁寧語
日本の教育制度の究極の目的は日本人は社会に入って、社会人になる。,日本の教育制度の究極の目的は日本人は社会に入って、社会人になります。,どちらでも良い:丁寧語
まず、学生の時に一所懸命勉強しなければならなくて、名門大学へ行かなければならない。一番名門会社でやとわれると、それで　せいこうしたと思われている。,まず、学生の時に一所懸命勉強しなければならなくて、名門大学へ行かなければなりません。一番名門会社でやとわれると、それで せいこうしたと思われています。,どちらでも良い:丁寧語
けれども、若い人はせいげんのある社会に反抗するから、べつの文化を作る。,けれども、若い人はせいげんのある社会に反抗するので、べつの文化を作ります。,どちらでも良い:丁寧語/other
例えば、まだ、ヤンキーが人気な反抗の文化で、アメリカの‘yankee’という単語から作られる。,例えば、まだ、ヤンキーが人気な反抗の文化で、アメリカの‘yankee’という単語から作られます。,どちらでも良い:丁寧語
学校で、知識を詰め込む教育に学生は困っていて、いい成績の競争は大変だ。,学校で、知識を詰め込む教育に学生は困っていて、いい成績の競争は大変です。,どちらでも良い:丁寧語
このようなことは屋上でタバコをすって（もく）、制服を変えて、時々ちゅうと退学する。,このようなことは屋上でタバコをすって（もく）、制服を変えて、時々ちゅうと退学します。,どちらでも良い:丁寧語
ヤンキーのリーダーはせんぱいで、こうはいはせんぱいに話す時に、敬語を使わなければならない。,ヤンキーのリーダーはせんぱいで、こうはいはせんぱいに話す時に、敬語を使わなければなりません。,どちらでも良い:丁寧語
それも、かたにはまらないスタイルをもって、オートバイを運転する。,それも、かたにはまらないスタイルをお持ちになって、オートバイを運転されます。,どちらでも良い:尊敬語
たいてい、ヤンキーは社会人にならないが、時々高校卒業後にヤンキーをやめる。,たいてい、ヤンキーは社会人になりませんが、時々高校卒業後にヤンキーをやめます。,どちらでも良い:丁寧語
漫画とアニメはヤンキーが人気になれて、たくさんの日本人はヤンキーになりたいと思う。,漫画とアニメはヤンキーが人気になれて、たくさんの日本人はヤンキーになりたいと思います。,どちらでも良い:丁寧語
メルボルンから飛行機で約二時半間の名所にあるゴールドコーストは、有名で色々なテーマパークで遊べる所です。,メルボルンから飛行機で約二時半間の名所にあるゴールドコーストは、有名で色々なテーマパークで遊べる所です。,無変換
クイーンズランド州にはゴールドコーストは一年中ほとんど暖かい天気なので、ここに外国人がたくさん来て観光します。,クイーンズランド州にはゴールドコーストは一年中ほとんど暖かい天気なので、ここに外国人がたくさん来て観光します。,無変換
三つの有名な公園があって、夢公園や、水公園や、映画公園と呼ばれています。,三つの有名な公園があって、夢公園や、水公園や、映画公園と呼ばれています。,無変換
その公園の中で、多くのアトラクションと乗り物を楽しむことができるので、オーストラリアの中で、その公園は一番すごいそうです。,その公園の中で、多くのアトラクションと乗り物を楽しむことができますので、オーストラリアの中で、その公園は一番すごいそうです。,どちらでも良い:丁寧語
面白いアトラクションがたくさんあるから、すべての家族は楽しく過ごせます。,面白いアトラクションがたくさんあるので、すべての家族は楽しく過ごせます。,変換:other
よく一番人気があるアトラクションで人々がいる時に、遊ぶために、長く待ちます。,よく一番人気があるアトラクションで人々がいる時に、遊ぶために、長く待ちます。,無変換
乗り物とアトラクションのほかに、公園の中には、多くのファストフードと土産店もあります。,乗り物とアトラクションのほかに、公園の中には、多くのファストフードと土産店もあります。,無変換
クイーンズランド州の中で観光するなら、できるだけアトラクション公園に入るべきです。,クイーンズランド州の中で観光するなら、できるだけアトラクション公園に入るべきです。,無変換
メルボルン空港からクーランガッタ空港まで飛行機で行って、車に乗ると、東方に約一時間かかります。,メルボルン空港からクーランガッタ空港まで飛行機で行って、車に乗ると、東方に約一時間かかります。,無変換
長い間、行き届いた掃除をしなかったので、いま、私は腰がまっすぐ伸ばせないほどだるいです。,長い間、行き届いた掃除をしなかったので、いま、私は腰がまっすぐ伸ばせないほどだるいです。,無変換
両方とも同じく大切なのが誰でもわかっているのに、ひとつしか選べなかったら、どうする？,両方とも同じく大切なのが誰でもわかっていますのに、ひとつしか選べなかったら、どうしますか？,どちらでも良い:丁寧語
西洋人にとって、愛情はすべて！」......先生はそう言ったけど、実際の状況は本当にそうなのか。,西洋人にとって、愛情はすべて！」......先生はそう仰いましたが、実際の状況は本当にそうなのでしょうか。,変換:尊敬語/丁寧語
あの時，私が苛められていたら，彼女はいつも私を助けてくれました。,あの時，私が苛められていたら，彼女はいつも私を助けてくださいました。,どちらでも良い:尊敬語
昔を思い出すと，「子供は本当にいいな」という感覚が脳に浮かんできます。,昔を思い出すと，「子供は本当にいいな」という感覚が脳に浮かんできます。,無変換
だから，姉さんが私の姿を見ると「お前，姿を見えないほど太った，まるでボールみたい」って言いました。,ですので，お姉様が私の姿をご覧になると「お前，姿を見えないほど太った，まるでボールみたい」とおっしゃいました。,変換:other/身化語/尊敬語
実はね、私も一年ぐらい日本語の勉強をしました。でも、あんまりできません。,実はね、私も一年ぐらい日本語の勉強をしました。でも、あんまりできません。,無変換
前に、テレビで勉強しました。だから、聞くのはいいですけど、書くのは全然いけません！,前に、テレビで勉強しました。だから、聞くのはいいですけど、書くのは全然いけません！,無変換
でも、今晩、突然昔の彼女からのメッセージが届いて、びっくりしました。,でも、今晩、突然昔の彼女からのメッセージが届きまして、びっくりしました。,どちらでも良い:丁寧語
人の頼みを断るのは嫌いですけど、でも、今回はきっぱりと断りました。,人の頼みを断るのは嫌いですけど、でも、今回はきっぱりと断りました。,無変換

































































































































































































































































































































































































































































































































































































































